1	2	8192	819	10248	1.39
2	2	4096	409	5714	1.55
3	8	32768	3276	50726	1.72
4	2	8192	819	13861	1.88
5	24	65536	6553	61932	1.05
6	2	8192	819	8921	1.21
7	2	8192	819	14008	1.90
8	2	8192	819	7815	1.06
9	2	32768	3276	36275	1.23
10	4	32768	3276	40993	1.39
11	24	8192	819	11501	1.56
12	4	8192	819	12681	1.72
13	4	2048	204	3485	1.89
14	2	8192	819	7741	1.05
15	2	32768	3276	35980	1.22
16	8	8192	819	10174	1.38
17	8	8192	819	11428	1.55
18	8	65536	6553	100860	1.71
19	2	4096	409	6894	1.87
20	2	8192	819	11501	1.56
21	2	71680	7168	110960	1.72
