1	2	8192	819	10248	1.39
2	2	4096	409	5714	1.55
3	8	32768	3276	50726	1.72
4	2	8192	819	13861	1.88
5	24	65536	6553	61932	1.05
6	2	8192	819	8921	1.21
7	2	8192	819	14008	1.90
8	2	8192	819	7815	1.06
9	2	32768	3276	36275	1.23
10	4	32768	3276	40993	1.39
11	24	8192	819	11501	1.56
12	4	8192	819	12681	1.72
13	4	2048	204	3485	1.89
14	2	8192	819	7741	1.05
15	2	32768	3276	35980	1.22
16	8	8192	819	10174	1.38
17	8	8192	819	11428	1.55
18	8	65536	6553	100860	1.71
19	2	4096	409	6894	1.87
20	2	8192	819	11501	1.56
21	2	71680	7168	110960	1.72
22	2	2048	204	3485	1.89
23	8	4096	409	3871	1.05
24	24	4096	409	4498	1.22
25	2	4096	409	5088	1.38
26	4	32768	3276	45712	1.55
27	2	4096	409	6304	1.71
28	8	8192	819	13861	1.88
29	2	32768	3276	30671	1.04
30	8	8192	819	8921	1.21
31	4	8192	819	10101	1.37
32	2	4096	409	5677	1.54
33	2	32768	3276	35980	1.22
34	2	8192	819	10248	1.39
35	24	4096	409	5714	1.55
36	4	4096	409	6341	1.72
37	4	8192	819	13861	1.88
38	2	8192	819	7741	1.05
39	2	32768	3276	35685	1.21
40	2	32768	3276	40404	1.37
41	4	8192	819	11354	1.54
42	2	8192	819	12534	1.70
43	8	71680	7168	120637	1.87
44	24	8192	819	11428	1.55
45	8	71680	7168	110960	1.72
46	4	65536	6553	110888	1.88
47	2	32768	3276	30966	1.05
48	2	8192	819	8921	1.21
49	2	8192	819	10174	1.38
50	2	32768	3276	45417	1.54
51	2	2048	204	3153	1.71
52	2	71680	7168	120637	1.87
53	2	4096	409	3834	1.04
54	4	32768	3276	35390	1.20
55	8	32768	3276	40404	1.37
56	8	8192	819	11280	1.53
57	4	8192	819	12534	1.70
58	2	2048	204	3429	1.86
59	4	4096	409	3760	1.02
60	2	65536	6553	70189	1.19
61	2	8192	819	9953	1.35
62	2	32768	3276	44827	1.52
63	2	4096	409	6194	1.68
64	4	32768	3276	54560	1.85
65	2	2048	204	1936	1.05
66	2	8192	819	8995	1.22
67	4	32768	3276	40698	1.38
68	8	4096	409	5714	1.55
69	2	8192	819	12607	1.71
70	4	32768	3276	55444	1.88
71	2	8192	819	7667	1.04
72	2	32768	3276	35685	1.21
73	24	32768	3276	40404	1.37
74	4	4096	409	5677	1.54
75	8	32768	3276	50136	1.70
76	8	8192	819	13787	1.87
77	4	71680	7168	66447	1.03
78	2	32768	3276	35390	1.20
79	2	32768	3276	40109	1.36
80	2	32768	3276	44827	1.52
81	2	4096	409	6231	1.69
82	24	32768	3276	54560	1.85
83	4	32768	3276	45417	1.54
84	2	4096	409	6267	1.70
85	8	8192	819	13787	1.87
86	4	32768	3276	30376	1.03
87	4	8192	819	8847	1.20
88	2	4096	409	5014	1.36
89	2	4096	409	5641	1.53
90	4	8192	819	12460	1.69
91	8	8192	819	13713	1.86
92	2	32768	3276	30081	1.02
93	2	4096	409	4387	1.19
94	4	32768	3276	39814	1.35
95	2	8192	819	11206	1.52
96	2	8192	819	12386	1.68
97	2	8192	819	13566	1.84
98	2	65536	6553	59572	1.01
99	2	65536	6553	69010	1.17
100	2	8192	819	9879	1.34
101	2	4096	409	5530	1.50
102	4	4096	409	6157	1.67
103	30	4096	409	6747	1.83
104	2	8192	819	7373	1
105	8	32768	3276	34210	1.16
106	2	8192	819	9806	1.33
107	8	32768	3276	43943	1.49
108	2	2048	204	3061	1.66
109	4	4096	409	6710	1.82
110	2	71680	7168	128378	1.99
111	24	32768	3276	33915	1.15
112	2	8192	819	9732	1.32
113	2	4096	409	5456	1.48
114	8	8192	819	12091	1.64
115	30	8192	819	13345	1.81
116	8	4096	409	7263	1.97
117	8	8192	819	8405	1.14
118	2	8192	819	9584	1.30
119	2	8192	819	10838	1.47
120	4	32768	3276	48071	1.63
121	8	71680	7168	116121	1.80
122	2	32768	3276	57804	1.96
123	2	2048	204	2083	1.13
124	2	2048	204	2378	1.29
125	2	4096	409	5383	1.46
126	4	8192	819	11944	1.62
127	12	32768	3276	52790	1.79
128	2	2048	204	3595	1.95
129	2	32768	3276	33031	1.12
130	2	8192	819	9437	1.28
131	2	8192	819	10617	1.44
132	2	8192	819	11870	1.61
133	4	4096	409	6525	1.77
134	8	8192	819	14303	1.94
135	2	2048	204	2028	1.10
136	8	65536	6553	105579	1.79
137	2	32768	3276	57509	1.95
138	2	32768	3276	33031	1.12
139	8	8192	819	9437	1.28
140	2	2048	204	2673	1.45
141	2	8192	819	11870	1.61
142	2	32768	3276	52495	1.78
143	24	32768	3276	57214	1.94
144	4	4096	409	4092	1.11
145	2	32768	3276	37454	1.27
146	8	32768	3276	42468	1.44
147	4	4096	409	5899	1.60
148	4	65536	6553	104399	1.77
149	2	4096	409	7115	1.93
150	4	8192	819	8036	1.09
151	2	2048	204	2323	1.26
152	2	32768	3276	41878	1.42
153	4	4096	409	5862	1.59
154	4	8192	819	12902	1.75
155	2	32768	3276	56624	1.92
156	2	4096	409	3981	1.08
157	24	32768	3276	36865	1.25
